Constituency_Number,Total_Number_of_Electors,Elected_Person_Name,Total_Candidates,Total_Polling_Stations,Candidate_1_Name,Candidate_1_Votes,Candidate_2_Name,Candidate_2_Votes,Candidate_3_Name,Candidate_3_Votes,Candidate_4_Name,Candidate_4_Votes,Candidate_5_Name,Candidate_5_Votes,Candidate_6_Name,Candidate_6_Votes,Candidate_7_Name,Candidate_7_Votes,Candidate_8_Name,Candidate_8_Votes,Candidate_9_Name,Candidate_9_Votes,Candidate_10_Name,Candidate_10_Votes,Total_Valid_Votes,Total_Rejected_Votes,Total_NOTA_Votes,Grand_Total_Votes
15,308272,Anil Patil Bhaidas,12,322,Dr.Anil Shinde Nathu,13219,Anil Patil Bhaidas,107236,Sachin Baviskar Ashok,695,Anil Patil Bhaidas,514,Amol Patil Ramesh,141,Lalchand Chhabilal Bhil,114,Dhudku Nimba Patil,168,Prof. Ravindra Patil Pratibha,315,Malche Udaysing Yashvant,152.0,Ratan Bhil Bhanu,796.0,199283,0,0,199283
26,298332,rakdnuF g narudnaP hsakA,12,306,eramhgaW yajiV iniwhsA,621,rakdnuF g narudnaP hsakA,104756,adnanaS dnahclukoG ramukpiliD anaR,79618,elaraviH oaruahB oaroeD,24998,rakmihsaW niaJ vahseK navaP,237,iawaG a rdnahchsiraH oarmihB,160,fitaL ludbA firA dammahoM,208,radmanI nasaH dammahoM,274,ulaK hkiahS dihsaR hkiahS,412.0,elotA raknO oahddU,104.0,483,346,0,829
28,311182,Prakash Bharsakale Gunwant,12,360,noitatS gnilloP,1770179,Gangane Sudhakarrao Mahesh,2438846,Prakash Bharsakale Gunwant,3328240,Adv. Wankhade Vidhyasagar Sujata,691,Capt. Sunil Dobale,1014,Deepak Bodkhe Ramdas,953962,Lalit Bahale Sudhakarrao,132742,Ataullha Ansarullha Khan Khan,815,Gopal Deshmukh Jivanrao,356.0,Nitin Walsinge Manohar,370.0,8076941,210,391820,8077151
29,311167,NITIN DESHMUKH BHIKANRAO,12,347,n oitatS g nilloP fO .oN laireS,60378,emaN noitatS gnilloP,0,NITIN DESHMUKH BHIKANRAO,80826,BALIRAM SIRASKAR BHAGWAN,60595,BHAGYASHRI GAWAI BABARAW,488,MANGESH GADGE GAJANAN,664,UMESH KISAN NANDANE,530,S.N. KHATIB,69684,PRAMOD RAMESH KADAM,306.0,JAWARKAR (EX VISHWANATH SERVICEMAN) ARMY ARJUN,142.0,273,1318,0,1591
36,222222,Adsad Pratap Arunbhau,12,378,Adsad Pratap Arunbhau,5558031,Jagtap Virendra Walmikrao,3689949,Yogendra Eknath Patil,3928,Anil Bhaurao Kambale,231,Akshay Kumar,209,Gaurav Kiran Rahate,168,Deepak Pundlik Akode,130,Nilam Devidasji Rangarkar,177,Dr.Nilesh Tarachand Vishvkarm,143116.0,Pravin Nilkanth Hendve,4734.0,172,187,0,359
37,126496,Rahul Mohod Laxmanrao,11,342,Kharate Baldeorao Sunil,57630,Ramesh Nagdive Pandurang,6695,Tirpude Kisanrao Uttam,3374,Ravi Gangadhar Rana,390,Rahul Mohod Laxmanrao,124581,Leena Dhole Ghanshyam,558,Shrikant Fulsawande Baburaoji,1615,Sonali Meshram Sanjay,50,Ajay Bhojraj Mandape,101.0,Kadam Nitin Babarao,55.0,142,1248,0,1390
41,302029,Dr. H Ce him m a ot nt eN a n d a,10,356,K e v alr a m T ul s hir a m K al e,63546,M otil al B at u T h a kr e,0,Dr. H Ce him m a ot nt eN a n d a,145354,R aj k u m ar D a y ar a m P at el,1582,R a Jm aki m b s h u or P K at al elur a m,38745,S h ail G a e n w dr a a n d e Vij a yr a o,25123,J y oti Utt a mr a o S ol a n k e,531,Pr a vi n R a m u M a v a s k ar,638,B h artit a ai R a vi B et h e k ar,792.0,M a h e n dr a Ki s h or P at el,213.0,2426,556,0,2982
55,341252,EKLEHS ABAB YTNUB,11,308,OARRAKAHBARP NIVARP EKTAD,47586,EKLEHS ABAB YTNUB,90008,EYIHBJAG NAGAJ DNILIM,78487,RAKIDAHOM OARRAKNAHS HSIHSA,826,IHSERUQ NURAH NARMI,116,)ETARAP( KILDNAM ARDNEMRAHD,51,IRATAK DASARPILAKVIHS,58,ARHSIM MARLAB JARUS ETACOVDA,63,LAWRAGA ALABUHDAM PEEDNAS,26.0,DAYYAS NAYIFUS LUDBA,33.0,52,224,0,276
58,502099,MARHSEM ARDNERUS TNARKIV .RE,11,510,ELUKNAWAB OARANHSURK RAHKEHSARDNAHC,127260,MARHSEM ARDNERUS TNARKIV .RE,165896,RAYOHB OARVADAY HSERUS,4362,EDEHKNAW LOMA,127890,EMSAHBIDAW IRUPAHCI HSIDGAJ,449,HKIEHS MILA LUDBA SIFAN,187,ERAHAS IJAMAR NITIN,57,EKNAM OARDNANA LUFARP,129,ETAHKAN LINA TNAHSARP,2622.0,DOSNAB DNILIM TNAHSARP,118.0,166,214,0,380
60,309727,Charan Sovinda Waghmare,11,367,Karemore Raju Manikrao,62495,Charan Sovinda Waghmare,134760,Borkar Yadorao Lalaji,70844,Biranware Onkarlal Liladhar,4104,Bhagwan Bhayya Bhonde,266,Sudesh Kartik Bansod,975,Sevakbhau Waghaye Patil,261,Avinash Sonwane Mahadeo,1479,Agashe Ankit Devdas,3723.0,Kamalesh Bawankule Ratiram,926.0,284,446,0,730
