District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Nandurabar,,,AKKALKUWA (ST),1,,1,374,0,2,376,0,Candidate_2,,0,374,374,0,374
Nandurabar,,,AKKALKUWA (ST),1,,2,252,0,2,254,0,Candidate_2,,0,252,252,0,252
Nandurabar,,,AKKALKUWA (ST),1,,3,284,0,0,284,0,Candidate_2,,0,284,284,0,284
Nandurabar,,,AKKALKUWA (ST),1,,4,352,0,0,352,0,Candidate_2,,0,352,352,0,352
Nandurabar,,,AKKALKUWA (ST),1,,5,325,0,1,326,0,Candidate_2,,0,325,325,0,325
Nandurabar,,,AKKALKUWA (ST),1,,6,327,0,0,327,0,Candidate_2,,0,327,327,0,327
Nandurabar,,,AKKALKUWA (ST),1,,7,250,0,2,252,0,Candidate_2,,0,250,250,0,250
Nandurabar,,,AKKALKUWA (ST),1,,8,237,0,0,237,0,Candidate_2,,0,237,237,0,237
Nandurabar,,,AKKALKUWA (ST),1,,9,292,0,0,292,0,Candidate_2,,0,292,292,0,292
Nandurabar,,,AKKALKUWA (ST),1,,10,253,0,2,255,0,Candidate_2,,0,253,253,0,253
Nandurabar,,,AKKALKUWA (ST),1,,11,284,0,1,285,0,Candidate_2,,0,284,284,0,284
Nandurabar,,,AKKALKUWA (ST),1,,12,332,0,0,332,0,Candidate_2,,0,332,332,0,332
Nandurabar,,,AKKALKUWA (ST),1,,13,257,0,1,258,0,Candidate_2,,0,257,257,0,257
Nandurabar,,,AKKALKUWA (ST),1,,14,281,0,1,282,0,Candidate_2,,0,281,281,0,281
Nandurabar,,,AKKALKUWA (ST),1,,15,297,0,0,297,0,Candidate_2,,0,297,297,0,297
Nandurabar,,,AKKALKUWA (ST),1,,16,309,0,3,312,0,Candidate_2,,0,309,309,0,309
Nandurabar,,,AKKALKUWA (ST),1,,17,264,0,2,266,0,Candidate_2,,0,264,264,0,264
Nandurabar,,,AKKALKUWA (ST),1,,18,245,0,1,246,0,Candidate_2,,0,245,245,0,245
Nandurabar,,,AKKALKUWA (ST),1,,19,287,0,0,287,0,Candidate_2,,0,287,287,0,287
Nandurabar,,,AKKALKUWA (ST),1,,20,306,0,2,308,0,Candidate_2,,0,306,306,0,306
Nandurabar,,,AKKALKUWA (ST),1,,21,264,0,2,266,0,Candidate_2,,0,264,264,0,264
Nandurabar,,,AKKALKUWA (ST),1,,22,278,0,1,279,0,Candidate_2,,0,278,278,0,278
Nandurabar,,,AKKALKUWA (ST),1,,23,295,0,0,295,0,Candidate_2,,0,295,295,0,295
TOTAL,,,,,,,6645,0,23,6668,0,,,0,6645,6645,0,6645
