District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Nanded,,,Hadgaon,84,,1,0,0,0,0,0,TUAR OARAVED HSENAG,,216,197,413,0,413
Nanded,,,Hadgaon,84,,2,0,1,0,1,0,TUAR OARAVED HSENAG,,312,185,497,0,497
Nanded,,,Hadgaon,84,,3,0,0,0,0,0,TUAR OARAVED HSENAG,,397,186,583,0,583
Nanded,,,Hadgaon,84,,4,0,0,0,0,0,TUAR OARAVED HSENAG,,378,389,767,0,767
Nanded,,,Hadgaon,84,,5,0,0,0,0,0,TUAR OARAVED HSENAG,,324,331,655,0,655
Nanded,,,Hadgaon,84,,6,1,0,0,1,0,TUAR OARAVED HSENAG,,400,156,556,0,556
Nanded,,,Hadgaon,84,,7,2,0,0,2,0,TUAR OARAVED HSENAG,,347,258,605,0,605
Nanded,,,Hadgaon,84,,8,0,0,0,0,0,TUAR OARAVED HSENAG,,539,304,843,0,843
Nanded,,,Hadgaon,84,,9,0,0,0,0,0,TUAR OARAVED HSENAG,,525,320,845,0,845
Nanded,,,Hadgaon,84,,10,1,0,0,1,2,TUAR OARAVED HSENAG,,557,323,880,2,882
Nanded,,,Hadgaon,84,,11,0,0,0,0,1,TUAR OARAVED HSENAG,,534,267,801,1,802
Nanded,,,Hadgaon,84,,12,0,1,0,1,2,TUAR OARAVED HSENAG,,318,396,714,2,716
Nanded,,,Hadgaon,84,,13,1,1,0,2,1,TUAR OARAVED HSENAG,,454,391,845,1,846
Nanded,,,Hadgaon,84,,14,0,0,0,0,0,TUAR OARAVED HSENAG,,799,108,907,0,907
Nanded,,,Hadgaon,84,,15,0,0,0,0,0,TUAR OARAVED HSENAG,,722,216,938,0,938
Nanded,,,Hadgaon,84,,16,0,0,0,0,0,TUAR OARAVED HSENAG,,683,187,870,0,870
Nanded,,,Hadgaon,84,,17,1,0,0,1,1,TUAR OARAVED HSENAG,,610,139,749,1,750
Nanded,,,Hadgaon,84,,18,1,0,0,1,0,TUAR OARAVED HSENAG,,261,190,451,0,451
Nanded,,,Hadgaon,84,,19,0,0,0,0,0,TUAR OARAVED HSENAG,,241,105,346,0,346
Nanded,,,Hadgaon,84,,20,0,0,0,0,2,TUAR OARAVED HSENAG,,711,306,1017,2,1019
Nanded,,,Hadgaon,84,,21,0,0,0,0,0,TUAR OARAVED HSENAG,,499,300,799,0,799
Nanded,,,Hadgaon,84,,22,0,0,0,0,0,TUAR OARAVED HSENAG,,238,230,468,0,468
Nanded,,,Hadgaon,84,,23,0,0,0,0,1,TUAR OARAVED HSENAG,,340,219,559,1,560
Nanded,,,Hadgaon,84,,24,4,0,0,4,1,TUAR OARAVED HSENAG,,278,232,510,1,511
Nanded,,,Hadgaon,84,,25,0,0,0,0,1,TUAR OARAVED HSENAG,,477,321,798,1,799
Nanded,,,Hadgaon,84,,26,0,0,0,0,0,TUAR OARAVED HSENAG,,529,328,857,0,857
Nanded,,,Hadgaon,84,,27,0,1,0,1,1,TUAR OARAVED HSENAG,,654,223,877,1,878
Nanded,,,Hadgaon,84,,28,0,1,0,1,0,TUAR OARAVED HSENAG,,160,103,263,0,263
Nanded,,,Hadgaon,84,,29,0,1,0,1,1,TUAR OARAVED HSENAG,,328,399,727,1,728
Nanded,,,Hadgaon,84,,30,0,0,0,0,0,TUAR OARAVED HSENAG,,345,363,708,0,708
Nanded,,,Hadgaon,84,,31,0,0,0,0,0,TUAR OARAVED HSENAG,,195,262,457,0,457
Nanded,,,Hadgaon,84,,32,1,0,0,1,0,TUAR OARAVED HSENAG,,760,211,971,0,971
Nanded,,,Hadgaon,84,,33,0,0,0,0,0,TUAR OARAVED HSENAG,,351,175,526,0,526
Nanded,,,Hadgaon,84,,34,0,1,0,1,0,TUAR OARAVED HSENAG,,235,284,519,0,519
Nanded,,,Hadgaon,84,,35,0,1,0,1,0,TUAR OARAVED HSENAG,,582,249,831,0,831
Nanded,,,Hadgaon,84,,36,3,0,0,3,0,TUAR OARAVED HSENAG,,389,268,657,0,657
Nanded,,,Hadgaon,84,,37,0,4,0,4,0,TUAR OARAVED HSENAG,,300,168,468,0,468
Nanded,,,Hadgaon,84,,38,0,1,0,1,0,TUAR OARAVED HSENAG,,590,261,851,0,851
Nanded,,,Hadgaon,84,,39,2,0,0,2,0,TUAR OARAVED HSENAG,,229,366,595,0,595
Nanded,,,Hadgaon,84,,40,2,1,0,3,1,TUAR OARAVED HSENAG,,485,267,752,1,753
Nanded,,,Hadgaon,84,,41,1,1,0,2,0,TUAR OARAVED HSENAG,,477,422,899,0,899
Nanded,,,Hadgaon,84,,42,0,0,0,0,1,TUAR OARAVED HSENAG,,264,464,728,1,729
Nanded,,,Hadgaon,84,,43,0,1,0,1,0,TUAR OARAVED HSENAG,,257,369,626,0,626
Nanded,,,Hadgaon,84,,44,1,0,0,1,0,TUAR OARAVED HSENAG,,284,284,568,0,568
Nanded,,,Hadgaon,84,,45,0,0,0,0,0,TUAR OARAVED HSENAG,,314,310,624,0,624
Nanded,,,Hadgaon,84,,46,2,0,0,2,0,TUAR OARAVED HSENAG,,418,307,725,0,725
Nanded,,,Hadgaon,84,,47,0,0,0,0,0,TUAR OARAVED HSENAG,,400,438,838,0,838
Nanded,,,Hadgaon,84,,48,5,1,0,6,0,TUAR OARAVED HSENAG,,408,403,811,0,811
Nanded,,,Hadgaon,84,,49,0,0,0,0,0,TUAR OARAVED HSENAG,,623,364,987,0,987
Nanded,,,Hadgaon,84,,50,0,0,0,0,0,TUAR OARAVED HSENAG,,235,352,587,0,587
Nanded,,,Hadgaon,84,,51,0,0,0,0,1,TUAR OARAVED HSENAG,,290,380,670,1,671
Nanded,,,Hadgaon,84,,52,0,0,0,0,1,TUAR OARAVED HSENAG,,318,371,689,1,690
Nanded,,,Hadgaon,84,,53,2,2,0,4,2,TUAR OARAVED HSENAG,,298,340,638,2,640
Nanded,,,Hadgaon,84,,54,0,0,0,0,2,TUAR OARAVED HSENAG,,574,344,918,2,920
Nanded,,,Hadgaon,84,,55,0,0,0,0,0,TUAR OARAVED HSENAG,,212,123,335,0,335
Nanded,,,Hadgaon,84,,56,0,0,0,0,0,TUAR OARAVED HSENAG,,517,505,1022,0,1022
Nanded,,,Hadgaon,84,,57,0,0,0,0,2,TUAR OARAVED HSENAG,,631,307,938,2,940
Nanded,,,Hadgaon,84,,58,0,0,0,0,0,TUAR OARAVED HSENAG,,338,281,619,0,619
Nanded,,,Hadgaon,84,,59,2,0,0,2,0,TUAR OARAVED HSENAG,,317,331,648,0,648
Nanded,,,Hadgaon,84,,60,0,1,0,1,0,TUAR OARAVED HSENAG,,462,566,1028,0,1028
Nanded,,,Hadgaon,84,,61,0,1,0,1,0,TUAR OARAVED HSENAG,,189,240,429,0,429
Nanded,,,Hadgaon,84,,63,1,0,0,1,0,TUAR OARAVED HSENAG,,231,453,684,0,684
Nanded,,,Hadgaon,84,,64,0,0,0,0,0,TUAR OARAVED HSENAG,,146,407,553,0,553
Nanded,,,Hadgaon,84,,65,0,0,0,0,0,TUAR OARAVED HSENAG,,131,359,490,0,490
Nanded,,,Hadgaon,84,,66,0,0,0,0,0,TUAR OARAVED HSENAG,,385,343,728,0,728
Nanded,,,Hadgaon,84,,67,0,0,0,0,0,TUAR OARAVED HSENAG,,307,330,637,0,637
Nanded,,,Hadgaon,84,,68,0,0,0,0,0,TUAR OARAVED HSENAG,,168,350,518,0,518
Nanded,,,Hadgaon,84,,69,0,0,0,0,0,TUAR OARAVED HSENAG,,325,277,602,0,602
Nanded,,,Hadgaon,84,,70,0,0,0,0,0,TUAR OARAVED HSENAG,,431,232,663,0,663
Nanded,,,Hadgaon,84,,71,0,1,0,1,0,TUAR OARAVED HSENAG,,444,211,655,0,655
Nanded,,,Hadgaon,84,,72,1,0,0,1,0,TUAR OARAVED HSENAG,,361,559,920,0,920
Nanded,,,Hadgaon,84,,73,0,0,0,0,1,TUAR OARAVED HSENAG,,578,274,852,1,853
Nanded,,,Hadgaon,84,,74,0,0,0,0,2,TUAR OARAVED HSENAG,,728,291,1019,2,1021
Nanded,,,Hadgaon,84,,75,0,1,0,1,1,TUAR OARAVED HSENAG,,508,475,983,1,984
Nanded,,,Hadgaon,84,,76,1,0,0,1,0,TUAR OARAVED HSENAG,,311,542,853,0,853
Nanded,,,Hadgaon,84,,77,2,0,0,2,0,TUAR OARAVED HSENAG,,327,421,748,0,748
Nanded,,,Hadgaon,84,,78,0,0,0,0,0,TUAR OARAVED HSENAG,,316,331,647,0,647
Nanded,,,Hadgaon,84,,79,0,2,0,2,1,TUAR OARAVED HSENAG,,467,526,993,1,994
Nanded,,,Hadgaon,84,,80,0,0,0,0,0,TUAR OARAVED HSENAG,,331,250,581,0,581
Nanded,,,Hadgaon,84,,81,0,1,0,1,0,TUAR OARAVED HSENAG,,217,400,617,0,617
Nanded,,,Hadgaon,84,,82,0,1,0,1,0,TUAR OARAVED HSENAG,,490,250,740,0,740
Nanded,,,Hadgaon,84,,83,1,1,0,2,0,TUAR OARAVED HSENAG,,445,269,714,0,714
Nanded,,,Hadgaon,84,,84,0,0,0,0,0,TUAR OARAVED HSENAG,,230,781,1011,0,1011
Nanded,,,Hadgaon,84,,85,0,0,0,0,1,TUAR OARAVED HSENAG,,186,526,712,1,713
Nanded,,,Hadgaon,84,,86,0,1,0,1,1,TUAR OARAVED HSENAG,,483,249,732,1,733
Nanded,,,Hadgaon,84,,87,0,0,0,0,0,TUAR OARAVED HSENAG,,273,512,785,0,785
Nanded,,,Hadgaon,84,,88,0,0,0,0,0,TUAR OARAVED HSENAG,,201,343,544,0,544
Nanded,,,Hadgaon,84,,89,0,0,0,0,0,TUAR OARAVED HSENAG,,339,346,685,0,685
Nanded,,,Hadgaon,84,,90,0,0,0,0,0,TUAR OARAVED HSENAG,,187,323,510,0,510
Nanded,,,Hadgaon,84,,91,0,0,0,0,0,TUAR OARAVED HSENAG,,216,266,482,0,482
Nanded,,,Hadgaon,84,,92,0,0,0,0,1,TUAR OARAVED HSENAG,,186,276,462,1,463
Nanded,,,Hadgaon,84,,93,0,1,0,1,0,TUAR OARAVED HSENAG,,405,407,812,0,812
Nanded,,,Hadgaon,84,,94,0,0,0,0,0,TUAR OARAVED HSENAG,,302,239,541,0,541
Nanded,,,Hadgaon,84,,95,1,0,0,1,0,TUAR OARAVED HSENAG,,166,243,409,0,409
Nanded,,,Hadgaon,84,,96,0,0,0,0,0,TUAR OARAVED HSENAG,,597,379,976,0,976
Nanded,,,Hadgaon,84,,97,0,0,0,0,0,TUAR OARAVED HSENAG,,384,241,625,0,625
Nanded,,,Hadgaon,84,,98,2,0,0,2,0,TUAR OARAVED HSENAG,,163,416,579,0,579
Nanded,,,Hadgaon,84,,99,0,0,0,0,0,TUAR OARAVED HSENAG,,418,230,648,0,648
Nanded,,,Hadgaon,84,,100,0,0,0,0,1,TUAR OARAVED HSENAG,,361,179,540,1,541
Nanded,,,Hadgaon,84,,101,0,0,0,0,0,TUAR OARAVED HSENAG,,491,332,823,0,823
Nanded,,,Hadgaon,84,,102,0,2,0,2,1,TUAR OARAVED HSENAG,,373,349,722,1,723
Nanded,,,Hadgaon,84,,103,1,0,0,1,0,TUAR OARAVED HSENAG,,209,463,672,0,672
Nanded,,,Hadgaon,84,,104,0,0,0,0,1,TUAR OARAVED HSENAG,,423,562,985,1,986
Nanded,,,Hadgaon,84,,105,2,0,0,2,2,TUAR OARAVED HSENAG,,704,394,1098,2,1100
Nanded,,,Hadgaon,84,,106,0,0,0,0,0,TUAR OARAVED HSENAG,,286,377,663,0,663
Nanded,,,Hadgaon,84,,107,0,1,0,1,2,TUAR OARAVED HSENAG,,286,408,694,2,696
Nanded,,,Hadgaon,84,,108,0,0,0,0,0,TUAR OARAVED HSENAG,,385,353,738,0,738
Nanded,,,Hadgaon,84,,109,2,1,0,3,0,TUAR OARAVED HSENAG,,289,351,640,0,640
Nanded,,,Hadgaon,84,,110,0,2,0,2,0,TUAR OARAVED HSENAG,,113,596,709,0,709
Nanded,,,Hadgaon,84,,111,0,0,0,0,0,TUAR OARAVED HSENAG,,174,337,511,0,511
Nanded,,,Hadgaon,84,,112,0,1,0,1,1,TUAR OARAVED HSENAG,,172,496,668,1,669
Nanded,,,Hadgaon,84,,113,0,0,0,0,0,TUAR OARAVED HSENAG,,172,329,501,0,501
Nanded,,,Hadgaon,84,,114,0,0,0,0,0,TUAR OARAVED HSENAG,,215,230,445,0,445
Nanded,,,Hadgaon,84,,115,1,0,0,1,1,TUAR OARAVED HSENAG,,482,238,720,1,721
Nanded,,,Hadgaon,84,,116,1,1,0,2,2,TUAR OARAVED HSENAG,,533,366,899,2,901
Nanded,,,Hadgaon,84,,117,4,0,0,4,3,TUAR OARAVED HSENAG,,522,399,921,3,924
Nanded,,,Hadgaon,84,,118,0,1,0,1,0,TUAR OARAVED HSENAG,,383,379,762,0,762
Nanded,,,Hadgaon,84,,119,0,0,0,0,0,TUAR OARAVED HSENAG,,329,239,568,0,568
Nanded,,,Hadgaon,84,,120,0,0,0,0,0,TUAR OARAVED HSENAG,,361,269,630,0,630
Nanded,,,Hadgaon,84,,121,0,1,0,1,0,TUAR OARAVED HSENAG,,524,686,1210,0,1210
Nanded,,,Hadgaon,84,,122,0,2,0,2,0,TUAR OARAVED HSENAG,,422,487,909,0,909
Nanded,,,Hadgaon,84,,123,0,0,0,0,0,TUAR OARAVED HSENAG,,314,320,634,0,634
Nanded,,,Hadgaon,84,,125,0,0,0,0,0,TUAR OARAVED HSENAG,,457,345,802,0,802
Nanded,,,Hadgaon,84,,126,1,0,0,1,0,TUAR OARAVED HSENAG,,436,323,759,0,759
