District Name,Assembly Constituency Number,Assembly Constituency Name
Nandurabar,1,Akkalkuwa (ST)
Nandurabar,2,Shahada (ST)
Nandurabar,3,Nandurbar (ST)
Nandurabar,4,Nawapur (ST)
Dhule,5,Sakri (ST)
Dhule,6,Dhule Rural
Dhule,7,Dhule City
Dhule,8,Sindhkheda
Dhule,9,Shirpur (ST)
Jalgaon,10,Chopda (ST)
Jalgaon,11,Raver
Jalgaon,12,Bhusawal (SC)
Jalgaon,13,Jalgaon City
Jalgaon,14,Jalgaon Rural
Jalgaon,15,Amalner
Jalgaon,16,Erandol
Jalgaon,17,Chalisgaon
Jalgaon,18,Pachora
Jalgaon,19,Jamner
Jalgaon,20,Muktainagar
Buldhana,21,Malkapur
Buldhana,22,Buldhana
Buldhana,23,Chikhli
Buldhana,24,Sindhkhed Raja
Buldhana,25,Mehkar (SC)
Buldhana,26,Khamgaon
Buldhana,27,Jalgaon (Jamod)
Akola,28,Akot
Akola,29,Balapur
Akola,30,Aakola West
Akola,31,Akola East
Akola,32,Murtizapur (SC)
Washim,33,Risod
Washim,34,Washim (SC)
Washim,35,Karanja
Amaravati,36,Dhamangaon Railway
Amaravati,37,Badnera
Amaravati,38,Amrawati
Amaravati,39,Teosa
Amaravati,40,Daryapur (SC)
Amaravati,41,Melghat (ST)
Amaravati,42,Achalpur
Amaravati,43,Morshi
Wardha,44,Arvi
Wardha,45,Deoli
Wardha,46,Hinganghat
Wardha,47,Wardha
Nagpur,48,Katol
Nagpur,49,Savner
Nagpur,50,Hingna
Nagpur,51,Umred (SC)
Nagpur,52,Nagpur South West
Nagpur,53,Nagpur South
Nagpur,54,Nagpur East
Nagpur,55,Nagpur Central
Nagpur,56,Nagpur West
Nagpur,57,Nagpur North (SC)
Nagpur,58,Kamthi
Nagpur,59,Ramtek
Bhandara,60,Tumsar
Bhandara,61,Bhandara (SC)
Bhandara,62,Sakoli
Gondiya,63,Arjuni Morgaon (SC)
Gondiya,64,Tirora
Gondiya,65,Gondia
Gondiya,66,Amgaon (ST)
Gadchiroli,67,Armori (ST)
Gadchiroli,68,Gadchiroli (ST)
Gadchiroli,69,Aheri (ST)
Chandrapur,70,Rajura
