District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Dhule,,,DHULE CITY,7,,1,737,0,6,743,0,,,0,737,737,0,737
Dhule,,,DHULE CITY,7,,2,681,0,4,685,0,,,0,681,681,0,681
Dhule,,,DHULE CITY,7,,3,919,0,11,930,0,,,0,919,919,0,919
Dhule,,,DHULE CITY,7,,4,811,0,3,814,0,,,0,811,811,0,811
Dhule,,,DHULE CITY,7,,5,786,0,7,793,0,,,0,786,786,0,786
Dhule,,,DHULE CITY,7,,6,744,0,3,747,0,,,0,744,744,0,744
Dhule,,,DHULE CITY,7,,7,824,0,4,828,0,,,0,824,824,0,824
Dhule,,,DHULE CITY,7,,8,659,0,2,661,0,,,0,659,659,0,659
Dhule,,,DHULE CITY,7,,9,744,0,1,745,0,,,0,744,744,0,744
Dhule,,,DHULE CITY,7,,10,744,0,5,749,0,,,0,744,744,0,744
Dhule,,,DHULE CITY,7,,11,760,0,2,762,0,,,0,760,760,0,760
Dhule,,,DHULE CITY,7,,12,854,0,3,857,0,,,0,854,854,0,854
Dhule,,,DHULE CITY,7,,13,792,0,0,792,0,,,0,792,792,0,792
Dhule,,,DHULE CITY,7,,14,700,0,1,701,0,,,0,700,700,0,700
Dhule,,,DHULE CITY,7,,15,738,0,2,740,0,,,0,738,738,0,738
Dhule,,,DHULE CITY,7,,16,531,0,2,533,0,,,0,531,531,0,531
Dhule,,,DHULE CITY,7,,17,655,0,2,657,0,,,0,655,655,0,655
Dhule,,,DHULE CITY,7,,18,584,0,3,587,0,,,0,584,584,0,584
Dhule,,,DHULE CITY,7,,19,874,0,0,874,0,,,0,874,874,0,874
Dhule,,,DHULE CITY,7,,20,969,0,7,976,0,,,0,969,969,0,969
Dhule,,,DHULE CITY,7,,21,817,0,4,821,0,,,0,817,817,0,817
Dhule,,,DHULE CITY,7,,22,658,0,6,664,0,,,0,658,658,0,658
Dhule,,,DHULE CITY,7,,23,629,0,3,632,0,,,0,629,629,0,629
Dhule,,,DHULE CITY,7,,24,646,0,0,646,0,,,0,646,646,0,646
Dhule,,,DHULE CITY,7,,25,712,0,3,715,0,,,0,712,712,0,712
Dhule,,,DHULE CITY,7,,26,539,0,1,540,0,,,0,539,539,0,539
Dhule,,,DHULE CITY,7,,27,689,0,3,692,0,,,0,689,689,0,689
Dhule,,,DHULE CITY,7,,28,665,0,3,668,0,,,0,665,665,0,665
Dhule,,,DHULE CITY,7,,29,966,0,3,969,0,,,0,966,966,0,966
Dhule,,,DHULE CITY,7,,30,629,0,0,629,0,,,0,629,629,0,629
Dhule,,,DHULE CITY,7,,31,991,0,3,994,0,,,0,991,991,0,991
Dhule,,,DHULE CITY,7,,32,986,0,2,988,0,,,0,986,986,0,986
Dhule,,,DHULE CITY,7,,33,943,0,3,946,0,,,0,943,943,0,943
Dhule,,,DHULE CITY,7,,34,722,0,2,724,0,,,0,722,722,0,722
Dhule,,,DHULE CITY,7,,35,711,0,4,715,0,,,0,711,711,0,711
Dhule,,,DHULE CITY,7,,36,828,0,2,830,0,,,0,828,828,0,828
Dhule,,,DHULE CITY,7,,37,749,0,0,749,0,,,0,749,749,0,749
Dhule,,,DHULE CITY,7,,38,769,0,2,771,0,,,0,769,769,0,769
Dhule,,,DHULE CITY,7,,39,708,0,0,708,0,,,0,708,708,0,708
Dhule,,,DHULE CITY,7,,40,537,0,1,538,0,,,0,537,537,0,537
Dhule,,,DHULE CITY,7,,41,682,0,2,684,0,,,0,682,682,0,682
Dhule,,,DHULE CITY,7,,42,613,0,2,615,0,,,0,613,613,0,613
Dhule,,,DHULE CITY,7,,43,622,0,1,623,0,,,0,622,622,0,622
Dhule,,,DHULE CITY,7,,44,546,0,4,550,0,,,0,546,546,0,546
Dhule,,,DHULE CITY,7,,45,597,0,2,599,0,,,0,597,597,0,597
Dhule,,,DHULE CITY,7,,46,683,0,4,687,0,,,0,683,683,0,683
Dhule,,,DHULE CITY,7,,47,482,0,0,482,0,,,0,482,482,0,482
Dhule,,,DHULE CITY,7,,48,442,0,3,445,0,,,0,442,442,0,442
Dhule,,,DHULE CITY,7,,49,721,0,6,727,0,,,0,721,721,0,721
Dhule,,,DHULE CITY,7,,50,686,0,2,688,0,,,0,686,686,0,686
Dhule,,,DHULE CITY,7,,51,491,0,2,493,0,,,0,491,491,0,491
Dhule,,,DHULE CITY,7,,52,494,0,0,494,0,,,0,494,494,0,494
Dhule,,,DHULE CITY,7,,53,602,0,3,605,0,,,0,602,602,0,602
Dhule,,,DHULE CITY,7,,54,558,0,0,558,0,,,0,557,557,0,557
Dhule,,,DHULE CITY,7,,55,747,0,2,749,0,,,0,747,747,0,747
Dhule,,,DHULE CITY,7,,56,648,0,5,653,0,,,0,648,648,0,648
Dhule,,,DHULE CITY,7,,57,548,0,3,551,0,,,0,548,548,0,548
Dhule,,,DHULE CITY,7,,58,473,0,3,476,0,,,0,473,473,0,473
Dhule,,,DHULE CITY,7,,59,421,0,0,421,0,,,0,421,421,0,421
Dhule,,,DHULE CITY,7,,60,521,0,3,524,0,,,0,521,521,0,521
Dhule,,,DHULE CITY,7,,61,469,0,4,473,0,,,0,469,469,0,469
Dhule,,,DHULE CITY,7,,62,613,0,2,615,0,,,0,613,613,0,613
Dhule,,,DHULE CITY,7,,63,496,0,2,498,0,,,0,496,496,0,496
Dhule,,,DHULE CITY,7,,64,611,0,1,612,0,,,0,611,611,0,611
Dhule,,,DHULE CITY,7,,65,513,0,6,519,0,,,0,513,513,0,513
Dhule,,,DHULE CITY,7,,66,682,0,6,688,0,,,0,682,682,0,682
Dhule,,,DHULE CITY,7,,67,518,0,8,526,0,,,0,518,518,0,518
Dhule,,,DHULE CITY,7,,68,499,0,2,501,0,,,0,499,499,0,499
Dhule,,,DHULE CITY,7,,69,647,0,1,648,0,,,0,647,647,0,647
Dhule,,,DHULE CITY,7,,70,684,0,2,686,0,,,0,684,684,0,684
Dhule,,,DHULE CITY,7,,71,644,0,1,645,0,,,0,644,644,0,644
Dhule,,,DHULE CITY,7,,72,699,0,4,703,0,,,0,699,699,0,699
Dhule,,,DHULE CITY,7,,73,618,0,0,618,0,,,0,618,618,0,618
Dhule,,,DHULE CITY,7,,74,799,0,1,800,0,,,0,799,799,0,799
Dhule,,,DHULE CITY,7,,75,655,0,3,658,0,,,0,655,655,0,655
Dhule,,,DHULE CITY,7,,76,685,0,1,686,0,,,0,685,685,0,685
Dhule,,,DHULE CITY,7,,77,680,0,4,684,0,,,0,680,680,0,680
Dhule,,,DHULE CITY,7,,78,756,0,3,759,0,,,0,756,756,0,756
Dhule,,,DHULE CITY,7,,79,687,0,6,693,0,,,0,687,687,0,687
Dhule,,,DHULE CITY,7,,80,583,0,2,585,0,,,0,583,583,0,583
Dhule,,,DHULE CITY,7,,81,683,0,6,689,0,,,0,683,683,0,683
Dhule,,,DHULE CITY,7,,82,834,0,8,842,0,,,0,834,834,0,834
Dhule,,,DHULE CITY,7,,83,717,0,2,719,0,,,0,717,717,0,717
Dhule,,,DHULE CITY,7,,84,792,0,5,797,0,,,0,792,792,0,792
Dhule,,,DHULE CITY,7,,85,594,0,2,596,0,,,0,594,594,0,594
Dhule,,,DHULE CITY,7,,86,852,0,4,856,0,,,0,852,852,0,852
Dhule,,,DHULE CITY,7,,87,872,0,7,879,0,,,0,872,872,0,872
Dhule,,,DHULE CITY,7,,88,813,0,6,819,0,,,0,813,813,0,813
