District Name,District No,Jilha,Constituency Name,Constituency No,Total No. of Electors,Serial Poll,Total No. Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes,Elected Person Name,Party Name of Elected Person,No. of Valid Votes Cast in Favour of Elected Person,Other Candidate Votes,Total EVM Votes,Total Postal ballot votes,Total Votes Polled
Satara,,,KOREGAON,257,,1,754,0,1,755,0,,,0,754,754,0,754
Satara,,,KOREGAON,257,,2,871,0,3,874,0,,,0,868,868,0,868
Satara,,,KOREGAON,257,,3,743,0,2,745,0,,,0,743,743,0,743
Satara,,,KOREGAON,257,,4,965,0,5,970,0,,,0,963,963,0,963
Satara,,,KOREGAON,257,,5,897,0,5,902,0,,,0,895,895,0,895
Satara,,,KOREGAON,257,,6,899,0,2,901,0,,,0,901,901,0,901
Satara,,,KOREGAON,257,,7,589,0,4,593,0,,,0,587,587,0,587
Satara,,,KOREGAON,257,,8,654,0,0,654,0,,,0,657,657,0,657
Satara,,,KOREGAON,257,,9,753,0,2,755,0,,,0,746,746,0,746
Satara,,,KOREGAON,257,,10,595,0,3,598,0,,,0,603,603,0,603
Satara,,,KOREGAON,257,,11,1019,0,1,1020,0,,,0,1013,1013,0,1013
Satara,,,KOREGAON,257,,12,933,0,6,939,0,,,0,928,928,0,928
Satara,,,KOREGAON,257,,13,260,0,1,261,0,,,0,260,260,0,260
Satara,,,KOREGAON,257,,14,903,0,8,911,0,,,0,903,903,0,903
Satara,,,KOREGAON,257,,15,971,0,2,973,0,,,0,969,969,0,969
Satara,,,KOREGAON,257,,16,286,0,0,286,0,,,0,284,284,0,284
Satara,,,KOREGAON,257,,17,824,0,1,825,0,,,0,824,824,0,824
Satara,,,KOREGAON,257,,18,906,0,0,906,0,,,0,903,903,0,903
Satara,,,KOREGAON,257,,19,868,0,7,875,0,,,0,869,869,0,869
Satara,,,KOREGAON,257,,20,648,0,3,651,0,,,0,648,648,0,648
Satara,,,KOREGAON,257,,21,849,0,5,854,0,,,0,847,847,0,847
Satara,,,KOREGAON,257,,22,624,0,3,627,0,,,0,625,625,0,625
Satara,,,KOREGAON,257,,23,252,0,0,252,0,,,0,252,252,0,252
Satara,,,KOREGAON,257,,24,993,0,1,994,0,,,0,998,998,0,998
Satara,,,KOREGAON,257,,25,808,0,1,809,0,,,0,805,805,0,805
Satara,,,KOREGAON,257,,26,866,0,0,866,0,,,0,862,862,0,862
Satara,,,KOREGAON,257,,27,782,0,1,783,0,,,0,782,782,0,782
Satara,,,KOREGAON,257,,28,671,0,2,673,0,,,0,676,676,0,676
Satara,,,KOREGAON,257,,29,723,0,1,724,0,,,0,717,717,0,717
Satara,,,KOREGAON,257,,30,891,0,6,897,0,,,0,889,889,0,889
Satara,,,KOREGAON,257,,31,879,0,4,883,0,,,0,878,878,0,878
Satara,,,KOREGAON,257,,32,701,0,7,708,0,,,0,698,698,0,698
Satara,,,KOREGAON,257,,33,757,0,3,760,0,,,0,756,756,0,756
Satara,,,KOREGAON,257,,34,834,0,7,841,0,,,0,834,834,0,834
Satara,,,KOREGAON,257,,35,626,0,5,631,0,,,0,624,624,0,624
Satara,,,KOREGAON,257,,36,417,0,2,419,0,,,0,419,419,0,419
Satara,,,KOREGAON,257,,37,583,0,1,584,0,,,0,584,584,0,584
Satara,,,KOREGAON,257,,38,453,0,2,455,0,,,0,453,453,0,453
Satara,,,KOREGAON,257,,39,537,0,4,541,0,,,0,534,534,0,534
Satara,,,KOREGAON,257,,40,395,0,2,397,0,,,0,395,395,0,395
Satara,,,KOREGAON,257,,41,684,0,7,691,0,,,0,683,683,0,683
Satara,,,KOREGAON,257,,42,302,0,1,303,0,,,0,302,302,0,302
Satara,,,KOREGAON,257,,43,453,0,3,456,0,,,0,452,452,0,452
Satara,,,KOREGAON,257,,44,303,0,1,304,0,,,0,303,303,0,303
Satara,,,KOREGAON,257,,45,236,0,1,237,0,,,0,235,235,0,235
Satara,,,KOREGAON,257,,46,1063,0,8,1071,0,,,0,1063,1063,0,1063
Satara,,,KOREGAON,257,,47,529,0,2,531,0,,,0,529,529,0,529
Satara,,,KOREGAON,257,,49,567,0,6,573,0,,,0,567,567,0,567
Satara,,,KOREGAON,257,,50,772,0,3,775,0,,,0,772,772,0,772
Satara,,,KOREGAON,257,,51,609,0,3,612,0,,,0,609,609,0,609
Satara,,,KOREGAON,257,,52,867,0,5,872,0,,,0,867,867,0,867
Satara,,,KOREGAON,257,,53,734,0,0,734,0,,,0,734,734,0,734
Satara,,,KOREGAON,257,,54,758,0,2,760,0,,,0,758,758,0,758
Satara,,,KOREGAON,257,,55,900,0,6,906,0,,,0,900,900,0,900
Satara,,,KOREGAON,257,,56,974,0,1,975,0,,,0,974,974,0,974
Satara,,,KOREGAON,257,,57,842,0,3,845,0,,,0,842,842,0,842
Satara,,,KOREGAON,257,,58,767,0,1,768,0,,,0,764,764,0,764
Satara,,,KOREGAON,257,,59,774,0,2,776,0,,,0,764,764,0,764
Satara,,,KOREGAON,257,,60,456,0,3,459,0,,,0,456,456,0,456
Satara,,,KOREGAON,257,,61,543,0,2,545,0,,,0,543,543,0,543
Satara,,,KOREGAON,257,,62,974,0,3,977,0,,,0,972,972,0,972
Satara,,,KOREGAON,257,,63,816,0,6,822,0,,,0,814,814,0,814
Satara,,,KOREGAON,257,,64,467,0,2,469,0,,,0,467,467,0,467
Satara,,,KOREGAON,257,,65,872,0,3,875,0,,,0,872,872,0,872
Satara,,,KOREGAON,257,,66,918,0,7,925,0,,,0,918,918,0,918
Satara,,,KOREGAON,257,,67,980,0,3,983,0,,,0,981,981,0,981
Satara,,,KOREGAON,257,,68,510,0,1,511,0,,,0,509,509,0,509
Satara,,,KOREGAON,257,,69,891,0,3,894,0,,,0,891,891,0,891
Satara,,,KOREGAON,257,,70,655,0,2,657,0,,,0,655,655,0,655
Satara,,,KOREGAON,257,,71,706,0,1,707,0,,,0,706,706,0,706
Satara,,,KOREGAON,257,,72,842,0,4,846,0,,,0,842,842,0,842
Satara,,,KOREGAON,257,,73,556,0,2,558,0,,,0,556,556,0,556
Satara,,,KOREGAON,257,,74,540,0,0,540,0,,,0,540,540,0,540
Satara,,,KOREGAON,257,,75,708,0,2,710,0,,,0,708,708,0,708
Satara,,,KOREGAON,257,,76,249,0,0,249,0,,,0,249,249,0,249
Satara,,,KOREGAON,257,,77,642,0,1,643,0,,,0,642,642,0,642
Satara,,,KOREGAON,257,,78,652,0,2,654,0,,,0,652,652,0,652
Satara,,,KOREGAON,257,,79,439,0,0,439,0,,,0,439,439,0,439
Satara,,,KOREGAON,257,,80,800,0,1,801,0,,,0,800,800,0,800
Satara,,,KOREGAON,257,,81,520,0,3,523,0,,,0,520,520,0,520
Satara,,,KOREGAON,257,,82,704,0,1,705,0,,,0,704,704,0,704
Satara,,,KOREGAON,257,,83,739,0,5,744,0,,,0,739,739,0,739
Satara,,,KOREGAON,257,,84,709,0,5,714,0,,,0,709,709,0,709
Satara,,,KOREGAON,257,,85,618,0,2,620,0,,,0,618,618,0,618
Satara,,,KOREGAON,257,,86,933,0,3,936,0,,,0,933,933,0,933
Satara,,,KOREGAON,257,,87,755,0,2,757,0,,,0,755,755,0,755
Satara,,,KOREGAON,257,,88,600,0,6,606,0,,,0,600,600,0,600
Satara,,,KOREGAON,257,,89,491,0,2,493,0,,,0,491,491,0,491
