AC Number,Constituency Name,District,Status,PDF Path
18,Pachora,Jalgaon,Failed,VIDHANSABHA_2024/Jalgaon/AC_18.pdf
22,Buldhana,Buldhana,Failed,VIDHANSABHA_2024/Buldhana/AC_22.pdf
27,Jalgaon (Jamod),Buldhana,Failed,VIDHANSABHA_2024/Buldhana/AC_27.pdf
34,Washim (SC),Washim,Failed,VIDHANSABHA_2024/Washim/AC_34.pdf
36,Dhamangaon Railway,Amaravati,Failed,VIDHANSABHA_2024/Amaravati/AC_36.pdf
37,Badnera,Amaravati,Failed,VIDHANSABHA_2024/Amaravati/AC_37.pdf
38,Amrawati,Amaravati,Failed,VIDHANSABHA_2024/Amaravati/AC_38.pdf
39,Teosa,Amaravati,Failed,VIDHANSABHA_2024/Amaravati/AC_39.pdf
40,Daryapur (SC),Amaravati,Failed,VIDHANSABHA_2024/Amaravati/AC_40.pdf
42,Achalpur,Amaravati,Failed,VIDHANSABHA_2024/Amaravati/AC_42.pdf
43,Morshi,Amaravati,Failed,VIDHANSABHA_2024/Amaravati/AC_43.pdf
49,Savner,Nagpur,Failed,VIDHANSABHA_2024/Nagpur/AC_49.pdf
52,Nagpur South West,Nagpur,Failed,VIDHANSABHA_2024/Nagpur/AC_52.pdf
61,Bhandara (SC),Bhandara,Failed,VIDHANSABHA_2024/Bhandara/AC_61.pdf
70,Rajura,Chandrapur,Failed,VIDHANSABHA_2024/Chandrapur/AC_70.pdf
71,Chandrapur (SC),Chandrapur,Failed,VIDHANSABHA_2024/Chandrapur/AC_71.pdf
72,Ballarpur,Chandrapur,Failed,VIDHANSABHA_2024/Chandrapur/AC_72.pdf
75,Warora,Chandrapur,Failed,VIDHANSABHA_2024/Chandrapur/AC_75.pdf
76,Wani,Yavatmal,Failed,VIDHANSABHA_2024/Yavatmal/AC_76.pdf
81,Pusad,Yavatmal,Failed,VIDHANSABHA_2024/Yavatmal/AC_81.pdf
82,Umarkhed (SC),Yavatmal,Failed,VIDHANSABHA_2024/Yavatmal/AC_82.pdf
97,Gangakhed,Parbhani,Failed,VIDHANSABHA_2024/Parbhani/AC_97.pdf
98,Pathri,Parbhani,Failed,VIDHANSABHA_2024/Parbhani/AC_98.pdf
111,Gangapur,Aurangabad,Failed,VIDHANSABHA_2024/Aurangabad/AC_111.pdf
112,Vaijapur,Aurangabad,Failed,VIDHANSABHA_2024/Aurangabad/AC_112.pdf
113,Nandgaon,Nashik,Failed,VIDHANSABHA_2024/Nashik/AC_113.pdf
129,Vekramgrth (ST),Palghar,Failed,VIDHANSABHA_2024/Palghar/AC_129.pdf
132,Nalasopara,Palghar,Failed,VIDHANSABHA_2024/Palghar/AC_132.pdf
133,Vasai,Palghar,Failed,VIDHANSABHA_2024/Palghar/AC_133.pdf
144,Kalyan Rural,Thane,Failed,VIDHANSABHA_2024/Thane/AC_144.pdf
145,Meera Bhayandar,Thane,Failed,VIDHANSABHA_2024/Thane/AC_145.pdf
146,Ovala majiwada,Thane,Failed,VIDHANSABHA_2024/Thane/AC_146.pdf
148,Thane,Thane,Failed,VIDHANSABHA_2024/Thane/AC_148.pdf
179,Sion Koliwada,Mumbai City,Failed,VIDHANSABHA_2024/Mumbai City/AC_179.pdf
188,Panvel,Raigad,Failed,VIDHANSABHA_2024/Raigad/AC_188.pdf
195,Junnar,Pune,Failed,VIDHANSABHA_2024/Pune/AC_195.pdf
197,Khed Alandi,Pune,Failed,VIDHANSABHA_2024/Pune/AC_197.pdf
199,Daund,Pune,Failed,VIDHANSABHA_2024/Pune/AC_199.pdf
202,Purandar,Pune,Failed,VIDHANSABHA_2024/Pune/AC_202.pdf
203,Bhor,Pune,Failed,VIDHANSABHA_2024/Pune/AC_203.pdf
206,Pimpri (SC),Pune,Failed,VIDHANSABHA_2024/Pune/AC_206.pdf
209,Shivajinagar,Pune,Failed,VIDHANSABHA_2024/Pune/AC_209.pdf
228,Georai,Beed,Failed,VIDHANSABHA_2024/Beed/AC_228.pdf
234,Latur Rural,Latur,Failed,VIDHANSABHA_2024/Latur/AC_234.pdf
235,Latur City,Latur,Failed,VIDHANSABHA_2024/Latur/AC_235.pdf
236,Ahmedpur,Latur,Failed,VIDHANSABHA_2024/Latur/AC_236.pdf
237,Udgir (SC),Latur,Failed,VIDHANSABHA_2024/Latur/AC_237.pdf
255,Phaltan (SC),Satara,Failed,VIDHANSABHA_2024/Satara/AC_255.pdf
261,Patan,Satara,Failed,VIDHANSABHA_2024/Satara/AC_261.pdf
262,Satara,Satara,Failed,VIDHANSABHA_2024/Satara/AC_262.pdf
269,Kudal,Sindhudurg,Failed,VIDHANSABHA_2024/Sindhudurg/AC_269.pdf
271,Chandgad,Kolhapur,Failed,VIDHANSABHA_2024/Kolhapur/AC_271.pdf
66,Amgaon (ST),Gondiya,Skipped,VIDHANSABHA_2024/Gondiya/AC_66.pdf
258,Man,Satara,Skipped,VIDHANSABHA_2024/Satara/AC_258.pdf
