AC Number,Constituency Name,District,Status,PDF Path
18,Pachora,Jalgaon,Completed,VIDHANSABHA_2024/Jalgaon/AC_18.pdf
22,Buldhana,Buldhana,Completed,VIDHANSABHA_2024/Buldhana/AC_22.pdf
27,Jalgaon (Jamod),Buldhana,Completed,VIDHANSABHA_2024/Buldhana/AC_27.pdf
34,Washim (SC),Washim,Completed,VIDHANSABHA_2024/Washim/AC_34.pdf
36,Dhamangaon Railway,Amaravati,Completed,VIDHANSABHA_2024/Amaravati/AC_36.pdf
37,Badnera,Amaravati,Completed,VIDHANSABHA_2024/Amaravati/AC_37.pdf
38,Amrawati,Amaravati,Completed,VIDHANSABHA_2024/Amaravati/AC_38.pdf
40,Daryapur (SC),Amaravati,Completed,VIDHANSABHA_2024/Amaravati/AC_40.pdf
42,Achalpur,Amaravati,Completed,VIDHANSABHA_2024/Amaravati/AC_42.pdf
43,Morshi,Amaravati,Completed,VIDHANSABHA_2024/Amaravati/AC_43.pdf
49,Savner,Nagpur,Completed,VIDHANSABHA_2024/Nagpur/AC_49.pdf
52,Nagpur South West,Nagpur,Completed,VIDHANSABHA_2024/Nagpur/AC_52.pdf
61,Bhandara (SC),Bhandara,Completed,VIDHANSABHA_2024/Bhandara/AC_61.pdf
70,Rajura,Chandrapur,Completed,VIDHANSABHA_2024/Chandrapur/AC_70.pdf
71,Chandrapur (SC),Chandrapur,Completed,VIDHANSABHA_2024/Chandrapur/AC_71.pdf
72,Ballarpur,Chandrapur,Completed,VIDHANSABHA_2024/Chandrapur/AC_72.pdf
75,Warora,Chandrapur,Completed,VIDHANSABHA_2024/Chandrapur/AC_75.pdf
76,Wani,Yavatmal,Completed,VIDHANSABHA_2024/Yavatmal/AC_76.pdf
81,Pusad,Yavatmal,Completed,VIDHANSABHA_2024/Yavatmal/AC_81.pdf
82,Umarkhed (SC),Yavatmal,Completed,VIDHANSABHA_2024/Yavatmal/AC_82.pdf
97,Gangakhed,Parbhani,Completed,VIDHANSABHA_2024/Parbhani/AC_97.pdf
98,Pathri,Parbhani,Completed,VIDHANSABHA_2024/Parbhani/AC_98.pdf
111,Gangapur,Aurangabad,Completed,VIDHANSABHA_2024/Aurangabad/AC_111.pdf
112,Vaijapur,Aurangabad,Completed,VIDHANSABHA_2024/Aurangabad/AC_112.pdf
129,Vekramgrth (ST),Palghar,Completed,VIDHANSABHA_2024/Palghar/AC_129.pdf
132,Nalasopara,Palghar,Completed,VIDHANSABHA_2024/Palghar/AC_132.pdf
133,Vasai,Palghar,Completed,VIDHANSABHA_2024/Palghar/AC_133.pdf
144,Kalyan Rural,Thane,Completed,VIDHANSABHA_2024/Thane/AC_144.pdf
145,Meera Bhayandar,Thane,Completed,VIDHANSABHA_2024/Thane/AC_145.pdf
146,Ovala majiwada,Thane,Completed,VIDHANSABHA_2024/Thane/AC_146.pdf
148,Thane,Thane,Completed,VIDHANSABHA_2024/Thane/AC_148.pdf
188,Panvel,Raigad,Completed,VIDHANSABHA_2024/Raigad/AC_188.pdf
195,Junnar,Pune,Completed,VIDHANSABHA_2024/Pune/AC_195.pdf
197,Khed Alandi,Pune,Completed,VIDHANSABHA_2024/Pune/AC_197.pdf
199,Daund,Pune,Completed,VIDHANSABHA_2024/Pune/AC_199.pdf
202,Purandar,Pune,Completed,VIDHANSABHA_2024/Pune/AC_202.pdf
203,Bhor,Pune,Completed,VIDHANSABHA_2024/Pune/AC_203.pdf
206,Pimpri (SC),Pune,Completed,VIDHANSABHA_2024/Pune/AC_206.pdf
209,Shivajinagar,Pune,Completed,VIDHANSABHA_2024/Pune/AC_209.pdf
228,Georai,Beed,Completed,VIDHANSABHA_2024/Beed/AC_228.pdf
235,Latur City,Latur,Completed,VIDHANSABHA_2024/Latur/AC_235.pdf
236,Ahmedpur,Latur,Completed,VIDHANSABHA_2024/Latur/AC_236.pdf
237,Udgir (SC),Latur,Completed,VIDHANSABHA_2024/Latur/AC_237.pdf
255,Phaltan (SC),Satara,Completed,VIDHANSABHA_2024/Satara/AC_255.pdf
261,Patan,Satara,Completed,VIDHANSABHA_2024/Satara/AC_261.pdf
262,Satara,Satara,Completed,VIDHANSABHA_2024/Satara/AC_262.pdf
269,Kudal,Sindhudurg,Completed,VIDHANSABHA_2024/Sindhudurg/AC_269.pdf
271,Chandgad,Kolhapur,Completed,VIDHANSABHA_2024/Kolhapur/AC_271.pdf
39,Teosa,Amaravati,Missing PDF,VIDHANSABHA_2024/Amaravati/AC_39.pdf
66,Amgaon (ST),Gondiya,Missing PDF,VIDHANSABHA_2024/Gondiya/AC_66.pdf
179,Sion Koliwada,Mumbai City,Missing PDF,VIDHANSABHA_2024/Mumbai City/AC_179.pdf
258,Man,Satara,Missing PDF,VIDHANSABHA_2024/Satara/AC_258.pdf
113,Nandgaon,Nashik,Pending,VIDHANSABHA_2024/Nashik/AC_113.pdf
234,Latur Rural,Latur,Pending,VIDHANSABHA_2024/Latur/AC_234.pdf
